n,mcc,precision,recall,tp,fp,tn,fn,prevalence,organism,component,bucket_type,bucket_value
195,0.193869849711023,0.9818181818181818,0.313953488372093,54,1,22,118,0.882051282051282,saureus,PPI,length_bucket,medium(300-1000bp)
110,0.3090575499818436,0.9368421052631579,0.898989898989899,89,6,5,10,0.9,saureus,ortholog_prior,length_bucket,long(1k-3k)
153,0.1059343431725745,0.9411764705882353,0.23880597014925373,32,2,17,102,0.8758169934640523,saureus,PPI,length_bucket,long(1k-3k)
281,0.2169312357553307,0.8987854251012146,0.9061224489795918,222,25,11,23,0.8718861209964412,saureus,ortholog_prior,has_ppi_partner,True
407,0.09179455939625057,0.912,0.32386363636363635,114,11,44,238,0.8648648648648649,saureus,PPI,has_ppi_partner,True
1422,0.4307885818533531,0.27331887201735355,0.9545454545454546,126,335,955,6,0.09282700421940929,styphimurium,ortholog_prior,kw_replication,0
3235,0.1388075129715557,0.07551766138855055,0.8211920529801324,124,1518,1566,27,0.04667697063369397,styphimurium,PPI,kw_replication,0
42,0.5270462766947299,0.5185185185185185,1.0,14,13,15,0,0.3333333333333333,styphimurium,ortholog_prior,kw_replication,1
71,0.16818743921419488,0.25862068965517243,0.9375,15,43,12,1,0.22535211267605634,styphimurium,PPI,kw_replication,1
1414,0.441342854623924,0.28752642706131076,0.9577464788732394,136,337,935,6,0.10042432814710042,styphimurium,ortholog_prior,kw_transcription,0
3151,0.14561822379056147,0.08292383292383293,0.8282208588957055,135,1493,1495,28,0.05172960964773088,styphimurium,PPI,kw_transcription,0
50,0.45044261646145084,0.26666666666666666,1.0,4,11,35,0,0.08,styphimurium,ortholog_prior,kw_transcription,1
155,0.1747488474246183,0.05555555555555555,1.0,4,68,83,0,0.025806451612903226,styphimurium,PPI,kw_transcription,1
