ec_number	km_value	km_unit	km_substrate	km_organism	km_organism_rank	km_n_at_rank	km_n_total	kcat_value	kcat_unit	kcat_organism	kcat_organism_rank	kcat_n_at_rank	kcat_n_total
2.7.4.25	0.0019	M	UMP	Escherichia coli	3	23	26	0.73	s^(-1)	Escherichia coli	3	23	26
2.7.4.3	9.2e-05	M	ADP	Escherichia coli	3	14	117	0.07333333	s^(-1)	Bacillus subtilis	4	10	46
2.7.4.4	0.00094	M	CMP	Homo sapiens	6	3	3						0
2.7.4.8	5.06e-05	M	ATP	Arabidopsis thaliana	5	2	18	3.9	s^(-1)	Arabidopsis thaliana	5	2	10
2.7.4.9	4e-05	M	ATP	Escherichia coli	3	2	11	10.5	s^(-1)	Escherichia coli	3	1	2
2.7.6.1	0.000138	M	D-Ribose 5-phosphate	Escherichia coli	3	2	67						0
2.7.7.1	0.0007	M	Nicotinamide nucleotide	Escherichia coli	3	2	102	0.6	s^(-1)	Methanothermobacter thermautotrophicus	5	16	62
2.7.7.15	0.00081	M	Choline phosphate	Pisum sativum	5	9	17						0
2.7.7.18	6.77e-05	M	Nicotinate D-ribonucleotide	Homo sapiens	6	14	14	6.9	s^(-1)	Homo sapiens	6	14	14
2.7.7.2	6.3e-05	M	Riboflavin-5-phosphate	Methanocaldococcus jannaschii	5	3	9	0.0036	s^(-1)	Homo sapiens	6	1	1
2.7.7.3	4.71e-05	M	N-Pentylpantothenamide 4-phosphate	Escherichia coli	3	3	15	12.3	s^(-1)	Escherichia coli	3	3	8
2.7.7.41	0.00026	M	dCTP	Bacillus subtilis	4	3	3						0
2.7.7.64	0.00043	M	alpha-D-Galactose 1-phosphate	Cucumis melo	5	12	12						0
2.7.7.9	7e-05	M	UTP	Escherichia coli	3	7	182						0
2.7.8.41	0.001	M	Phosphatidylglycerol	Saccharomyces cerevisiae	6	2	2						0
2.7.8.5	0.00032	M	sn-Glycerol 3-phosphate	Escherichia coli	3	2	8						0
