word,n_ess,n_non,pct_ess,pct_non,enrichment,log_odds
metallophosphoesterase,4,26,0.045698617616817094,0.10980193420330249,0.41619137174946613,-0.8759760846337965
glycine,8,52,0.09139723523363419,0.21960386840660498,0.41619137174946613,-0.8772558930605383
formate,7,46,0.0799725808294299,0.1942649605135352,0.4116675524913197,-0.8879486398692125
cassette,5,33,0.05712327202102136,0.13936399341188394,0.4098854418744742,-0.8916690022380704
tyrosine-type,5,35,0.05712327202102136,0.1478102960429072,0.38646341662450423,-0.950553112618401
phosphorylase,6,43,0.06854792642522564,0.1815955065670003,0.3774758953076553,-0.9744732088698269
multidrug,8,60,0.09139723523363419,0.25338907893069806,0.3606991888495373,-1.0206346997815636
sam-dependent,12,91,0.13709585285045128,0.3843067697115588,0.3567354614995424,-1.0327703698750446
integrase,7,54,0.0799725808294299,0.22805017103762829,0.3506797669370501,-1.0485536320847846
pyridoxal,7,55,0.0799725808294299,0.2322733223531399,0.3443037711745583,-1.066937130384221
phage,14,112,0.1599451616588598,0.47299294733730307,0.3381554895464412,-1.0869762551450801
acyl-coa,18,146,0.2056437792756769,0.6165800920646987,0.333523222566353,-1.1018451240278928
repair,7,57,0.0799725808294299,0.24071962498416316,0.33222293709825806,-1.1027247763201453
rnd,17,143,0.19421912487147264,0.6039106381181638,0.3216024236245874,-1.1382033610753357
tolc,4,34,0.045698617616817094,0.1435871447273956,0.3182639901613565,-1.14436423404966
radical,6,52,0.06854792642522564,0.21960386840660498,0.3121435288120996,-1.1648023978623447
sam,6,52,0.06854792642522564,0.21960386840660498,0.3121435288120996,-1.1648023978623447
nitrite,4,35,0.045698617616817094,0.1478102960429072,0.3091707332996034,-1.1733741793456112
sodium,4,35,0.045698617616817094,0.1478102960429072,0.3091707332996034,-1.1733741793456112
sensor,21,192,0.23991774248828973,0.8108450525782339,0.29588605335313606,-1.2232268884662494
aldehyde,4,37,0.045698617616817094,0.15625659867393046,0.29245880176989514,-1.2289920762220463
motor,3,28,0.03427396321261282,0.11824823683432577,0.28984756246837823,-1.2371724263418935
molybdate,3,30,0.03427396321261282,0.12669453946534903,0.27052439163715297,-1.3061935318202078
pseudouridine,7,70,0.0799725808294299,0.2956205920858144,0.27052439163715297,-1.3086421153450631
mbl,6,61,0.06854792642522564,0.2576122302462097,0.2660895655447406,-1.324746379042688
pilin,3,31,0.03427396321261282,0.13091769078086068,0.26179779835853517,-1.3390001990477387
hemolysin,3,32,0.03427396321261282,0.1351408420963723,0.2536166171598309,-1.3707673330629921
gnat,11,117,0.125671198446247,0.4941087039148613,0.25433917162467373,-1.372189363198009
polysaccharide,4,43,0.045698617616817094,0.1815955065670003,0.2516505968717702,-1.3794388514373823
cofactor,4,43,0.045698617616817094,0.1815955065670003,0.2516505968717702,-1.3794388514373823
had,3,33,0.03427396321261282,0.13936399341188394,0.24593126512468452,-1.4015588742777787
nudix,4,44,0.045698617616817094,0.18581865788251192,0.24593126512468452,-1.4024581703400738
fold,15,168,0.1713698160630641,0.7094894210059546,0.24153963539031517,-1.4256842800151048
hydrolase,45,502,0.5141094481891922,2.1200219603868407,0.24250194469465905,-1.4328720251955565
resistance,3,35,0.03427396321261282,0.1478102960429072,0.23187804997470254,-1.4604429846581093
flagellar,18,209,0.2056437792756769,0.8826386249419317,0.23298751432864848,-1.4632045515975136
repeat,10,117,0.11424654404204272,0.4941087039148613,0.23121742874970339,-1.467534420346726
secretion,37,429,0.42271221295555816,1.8117319143544912,0.23331940537470075,-1.4692129318173586
phosphate-dependent,4,49,0.045698617616817094,0.2069344144600701,0.22083623807114527,-1.5102455212043422
coenzyme,3,37,0.03427396321261282,0.15625659867393046,0.21934410132742135,-1.5160608815345444
aaa,4,51,0.045698617616817094,0.21538071709109335,0.21217599344090432,-1.5503165556807854
nitrate,4,53,0.045698617616817094,0.22382701972211666,0.20416935217898335,-1.5888499727872274
body,3,40,0.03427396321261282,0.1689260526204654,0.20289329372786472,-1.5941013553209098
amidohydrolase,3,41,0.03427396321261282,0.17314920393597702,0.19794467680767291,-1.6188218417609788
apparatus,2,28,0.022849308808408547,0.11824823683432577,0.19323170831225214,-1.6412982810836603
